name,price,Original Price,category,site
"SanDisk Extreme Pro SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 200MB/s Read & 90MB/s Write, Lifetime Warranty",865..00,N/A,Camera,amazon
"Outdoor Security Camera, Bullet Style, IP67 Weatherproof, White",300..00,N/A,Camera,amazon
"Digital Camera, FHD 1080P Kids Camera 44MP Point and Shoot Digital Cameras with 32GB SD Card, 16X Zoom, Two Batteries, Lanyard, Compact Small Camera for Kids Boys Girls","3,660..78","EGP 3,774.00",Camera,amazon
"High Quality – 3m HDMI cable – 4K HDMI cord (HDMI to HDMI – 4K@120Hz for stunning Ultra HD, High Speed with Ethernet, HDMI 2.0/1.4 – Blu-ray/PS4/PS5/Xbox Series X/Switch, black)",105..90,EGP 179.00,Camera,amazon
"WEWATCH Projector, V11 Mini Projector, Focus Remote Control, Vertical Correction 45°, ±360° Rotating LED Projector, 1080P Full HD, 14000 Lumens, WiFi6 Bluetooth Projector, 300 Inch Display with","4,999..00",N/A,Camera,amazon
"Lexar Professional 1066x 256GB MicroSDXC Uhs-I Card with SD Adapter Silver Series, Up to 160MB/s Read 120MB/s Write","1,277..59",N/A,Camera,amazon
"Travor Photo Box 16""/40cm Photo Studio Light Box Photography Shooting Tent with Movable LED Lights, Dimmable Table Top Light Tent with 4 Color Backdrops (White Black Red Blue), CRI95+",896..00,EGP 967.00,Camera,amazon
"Tapo tc70 360-degree smart wi-fi pan and tilt camera, 1080 p,with light and audio",N/A,N/A,Camera,amazon
Nikon z30 mirrorless camera with 16-50mm lens,"48,613..19",N/A,Camera,amazon
Hikvisioon Camera 2 MP OutDoor DS-2CE10DF0T - PF,"1,550..00",N/A,Camera,amazon
Fujifilm instax Wide Instant Film (20 Exposures),993..19,N/A,Camera,amazon
HDMI FLAT CABLE 3M FULL HD 1080,69..00,N/A,Camera,amazon
Saramonic Blink 500 B2+ 2-Person Wireless Clip-On Microphone System,"5,850..00","EGP 6,500.00",Camera,amazon
Ring Light Aluminum Camera Tripod With Smart Design And Flexible For Smartphone - Black,177..00,EGP 202.00,Camera,amazon
"ADZOY 19 Inch RL-19 LED Video Bi-Colors Panel Light Kit, 2700-7500K Dimmable Photography Lighting with Remote, 7 Feet Tripod Stand for YouTube, Game Streaming, Video Photography","1,840..00",N/A,Camera,amazon
instax FUJIFILM SQUARE SQ1 Instant Film Camera - Glacier Blue,"6,534..09",N/A,Camera,amazon
Boya by-m1 lavalier microphone with windshield for smartphones and cameras - black,260..60,N/A,Camera,amazon
"Insta360 X4-8K Waterproof 360 Action Camera, 4K Wide-Angle Video, Invisible Selfie Stick Effect, Removable Lens Guards, 135 Min Battery Life, AI Editing, Stabilization, for Sports, Travel, Outdoor","28,550..00",N/A,Camera,amazon
BOYALINK Wireless Microphone System All-in-one 2.4GHz - Black,"4,500..00",N/A,Camera,amazon
"Tapo TP-Link Pan/Tilt Security Camera for Baby Monitor, Pet Camera w/Motion Detection, 1080P, 2-Way Audio, Night Vision, Cloud & SD Card Storage, Works with Alexa & Google Home ( C200)",N/A,N/A,Camera,amazon
"DJI Osmo Pocket 3 Creator Combo, Vlogging Camera with 1'' CMOS & 4K/120fps Video, 3-Axis Stabilization, Face/Object Tracking, Fast Focusing, Mic Included for Clear Sound,Digital Camera for Photography",N/A,N/A,Camera,amazon
Lexar microSDXC Card 128GB UHS-I High-Performance 633x U3 100MB/s,N/A,N/A,Camera,amazon
"Joyzzz Kids Digital Camera, 1080P Portable, Blue",450..00,N/A,Camera,amazon
"Careflection K-35 Wireless Collar Microphone Lapel Lavalier Omnidirectional Mic Plug and Play Mike for Vlogging Interview Live Streaming YouTube Compatible with BT Speakers, DSLR Camera,Black",297..00,EGP 314.50,Camera,amazon
Exxelo Mobile Phone and Camera Stand with Tilt Pan 360 Degree Horizontal & Vertical Rotating Head 55 Inches Height- Free Mobile Holder,395..00,EGP 437.50,Camera,amazon
"Lexar High-Performance 800x PRO SD Card 64GB, SDXC UHS-I Card, SD 3.0 Card up to 150MB/s Read, V30, U3, C10 SD Memory Card for Point-and-shoot Camera/Mid-range DSLR/HD Camcorder (LSD0800P064G-BNNAA)",482..35,N/A,Camera,amazon
"ZatRuiZE Tripod Mount, Cell Phone Tripod Holder Clip, 1/4 Inch Screw Adapter, 360 Degree Rotation & Fixed 2 in 1, Smartphone Camera Holder, Mobile iPhone Clamp",152..10,EGP 170.00,Camera,amazon
K8 Wireless Microphone 2.4G Lapel Lavalier Mic Omnidirectional Cordless Mike for Interview Youtubers Vlogging Video Recording LiveStream Broadcasting Compatible with Lightning & Type-C Devices,239..00,EGP 249.00,Camera,amazon
"Hikvision 4 channel dvr 1080p lite h.265+ dvr ds-7104hghi-k1 with usewell hdmi (without hard drive), white","1,330..00","EGP 1,365.00",Camera,amazon
"ToneGod HDMI Splitter Adapter, ToneGod HDMI Splitter Cable for Dual Monitors Duplicate/Mirror(1 in 2 Out), HDMI Male to Dual HDMI Female for HDMI HD, LED, LCD, TV, Support Two TVs at The Same Time",67..00,EGP 80.00,Camera,amazon
"CROWNVIZ Camera Video Recording Vlogging Kit for Video Making, Mic, Mini Tripod Stand, LED Light & Phone Holder Clip for Making Videos Podcasting",336..00,N/A,Camera,amazon
