name,price,Original Price,category,site
"Generic AN2389 Wireless Portable Bluetooth Speaker, Stereo Sound, FM Radio & AUX, Fun, Playful, Unique Style, Portable Bluetooth Speaker",299..00,N/A,Speakers,amazon
Alaska tech Tk-2022 2.1 Channel Multimedia Speaker System - Black,"3,750..00",N/A,Speakers,amazon
Music BOX Speaker for Different Occasions High Sound Quality Assemble and Magnify the Sound Once The Phone is Placed on the Top of It and then Enjoy a Great Listening Experience multy colors,70..00,N/A,Speakers,amazon
JBL CHARGE 5 GRN Charge 5 Portable Bluetooth Speaker - Green|1 year manufacturer warranty,"8,752..00",N/A,Speakers,amazon
"Iq&t a19x wireless loud speaker, 700 watt - black, Wi-Fi, USB","4,500..00",N/A,Speakers,amazon
"Generic AN225 Wireless Portable Bluetooth Speaker with USB Flash Memory Slot, Karaoke, FM Radio, AUX, Multicolor",369..00,N/A,Speakers,amazon
"platinum multimedia active speaker Ah-400 - grey, USB",541..00,EGP 574.00,Speakers,amazon
Siruiku Remote Control Speaker Portable Quran Speaker MP3 Player 8GB TF FM Quran Koran Translator USB Rechargeable Speaker,"1,775..70","EGP 2,222.00",Speakers,amazon
سبيكر ساوند بار بتقنية صوت مميزة 16 وات - بطارية 1200مللي امبير - دعم تشغيل USB وTF، منفذ AUX - شاشة LCD - موديل LED-920,"1,875..00",N/A,Speakers,amazon
"KOOMAL Dimmable Wireless Charger Lamp, 6 Color Changing Bluetooth Speaker with Night Light, RGB Table Lamp, Smart Mood Light for Bedroom, Receive/Dial Calls (White)",475..00,EGP 599.00,Speakers,amazon
Parashar Industries Shure Multipurpose Audio Mike,"1,699..00",N/A,Speakers,amazon
"JL-390 Wireless Bluetooth Speaker with AI AI and Pure Surround Sound, RGB Lighting with Multi Colors with Carrying Strap, Multiple Compatibility Modes, FM Radio, Memory, USB C",849..00,N/A,Speakers,amazon
"JBL Flip 7 - Portable Waterproof and Drop-Proof Speaker, Bold Pro Sound with AI Sound Boost, 16Hrs of Playtime, and PushLock System with Interchangeable Accessories","7,666..00",N/A,Speakers,amazon
"Keendex KX 2865 PartBox Portable Wireless Speaker With LED Lights and Microphone -Black, Bluetooth","4,589..00",N/A,Speakers,amazon
Tiger Subwoofer 6900 USB/SD/RBluetooth6 inch,"2,700..00",N/A,Speakers,amazon
Sony SRS-XV500 X-Series Wireless Portable Bluetooth Karaoke Party Speaker IPX4 Splash-Resistant with 25 Hour-Battery and Ambient Lights - New,"13,636..02","EGP 17,999.00",Speakers,amazon
"JBL Clip 4 Ultra-Portable Bluetooth Speaker with IP67 Waterproof Design, 10H Playtime, Integrated Carabiner, JBL Pro Sound, Bold Style - Black | 1 Year Local warranty","2,884..00",N/A,Speakers,amazon
"Generic J-605 Wireless Portable Bluetooth Speaker with USB, Memory Card, SD, FM Radio Sound, Deep Bass, Crystal-Clear Highs - Modern Style, Tabletop Mount - 1 Count - Speaker",579..00,N/A,Speakers,amazon
JBL Boombox2 Portable Bluetooth Speaker - Black,N/A,N/A,Speakers,amazon
"Anker Upgraded, Soundcore Bluetooth Speaker with IPX5 Waterproof, Stereo Sound, 24H Playtime, Portable Wireless Speaker for iPhone, Samsung and More",N/A,N/A,Speakers,amazon
Sub ws-887 - Bluetooth Speaker and Radio - Mini Portable Bluetooth Subwoofer (Black),128..10,EGP 151.00,Speakers,amazon
JBL Partybox Stage 320 Portable party speaker|1 year manufacturer warranty,"29,666..00","EGP 35,464.00",Speakers,amazon
