name,price,Original Price,category,site
"BROLAVIYA Cell Phone Tablet Tabletop Stand, Gooseneck Flexible Clip Lazy Arm Bracket for Both Mobiles and Tablets Fits Device 4~10.6 Diagonal inch, for Overhead Video,Desktop,Bedroom, Office, Black",298..00,EGP 454.00,PC,amazon
"Generic Full Motion TV Wall Mount for 32-55 Inch TVs and Computer Monitors - Adjustable Tilting, Rotating. Weight up to 60lbs (32"" to 55"")",675..00,N/A,PC,amazon
"Lenovo IdeaPad Gaming 3, AMD Ryzen 7 7735HS, 16GB DDR5-4800, Nvidia GeForce RTX 4050, 15.6"" FHD IPS 250nits, 512GB SSD, Windows 11 Home (82SB00MUED) 2 Years Local Warranty by Lenovo","40,418..55",N/A,PC,amazon
"HP Smart Tank 581 Wireless All In One Printer, Print, Scan, Copy, Print up to 6000 black or 6000 color pages - Grey [4A8D4A]","5,777..00","EGP 7,299.00",PC,amazon
"Laptop Backpack Case,17 Inch Business Travel Backpack Water Resistant College School a way Backpack for Boys and Girls",345..00,EGP 356.00,PC,amazon
"Acer Aspire 7|Core i5-1240P|512GB PCIe NVMe SSD|8GB RAM DDR4 3200Mhz|NVIDIA RTX 3050 VRAM GDDR6 4GB|15.6"" FHD IPS 60Hz SlimBezel|Backlit Arabic Keyboard|FingerPrint TouchPad|DOS|1 Year Local Warranty","27,163..00",N/A,PC,amazon
Joyroom JR-BP560S Capacitive Touchscreen Stylus Passive Capacitive Pen For iPad iPhone All Capacitiv Dark Gray |12 Months Warranty,196..20,EGP 250.00,PC,amazon
"BYEASY USB Hub, 4 Port USB 3.0 Hub, Ultra Slim Portable Data Hub Applicable for iMac Pro, MacBook Air, Mac Mini/Pro, Surface Pro, Notebook PC, Laptop, USB Flash Drives, and Mobile HDD (Leather Black)",225..00,N/A,PC,amazon
"Kingston Digital XS1000 External SSD, 2TB","5,999..00","EGP 7,729.00",PC,amazon
"G-Tab T8S Tablet (WiFi) 5G (RAM :4+4GB, ROM :64GB) 8 inch IPS LCD 800x1280, 5000 mAh Battery, Android 14, Camera 2MP front + 5MP rear, Silicon Case,1 Year Warranty, Purple","3,190..00",N/A,PC,amazon
100PCS Black Nylon Tie Wraps With Length 30cm and Width 4.8mm Indoor and Outdoor UV Resistant,78..00,EGP 163.35,PC,amazon
NB North Bayou Monitor Arm for 17-30 inch Screen Monitor Stand Height Adjustable Monitor Mount Bracket Full Motion Gas Spring VESA 75/100mm Weight 2-9kg,"2,499..00",N/A,PC,amazon
"Ellies Apple MFi Certified iPhone Charger Cord 3ft Lightning Cable Fast Charging High Speed Data Sync USB Cable Compatible with iPhone 13/12/11 Pro Max/XS MAX/XR/XS/X/8/7/Plus/6S iPad AirPods, white",35..30,EGP 57.00,PC,amazon
"WiWU Wi-C042E Starlink Series USB-A to USB-C Cable, White|18 Months Warranty",49..00,EGP 70.00,PC,amazon
ZOTAC GAMING GeForce RTX 4060 Twin Edge 8GB GDDR6 Graphics Card Black,"15,845..00",N/A,PC,amazon
Keyboard Case for iPad Pro 12.9 inch 2022-6th / 2021-5th / 2020-4th / 2018-3rd Generation – Magnetic Keyboard Case with Multi-Touch Trackpad – Floating Cantilever Stand– Backlit Wireless Keyboard,N/A,N/A,PC,amazon
SanDisk Extreme Ext SSD 1050MB/s 1TB,"5,399..00","EGP 7,639.00",PC,amazon
Carrier HW Optimax Pro Fixed Speed 2.25HP - Cooling only Tropical A/C,"34,999..00",N/A,PC,amazon
Logitech M90 Optical Wired Mouse - Black,229..00,EGP 291.00,PC,amazon
"Lexar NM620 1TB SSD, M.2 2280 PCIe Gen3x4 NVMe 1.4 Internal SSD, Up to 3500MB/s Read, 3000MB/s Write, 3D NAND Flash Internal Solid State Drive for PC Enthusiasts and Gamers (LNM620X001T-RNNNG)","3,198..87","EGP 5,076.00",PC,amazon
"Logitech MX Master 3S - Wireless Performance Mouse with Ultra-fast Scrolling, Ergo, 8K DPI, Track on Glass, Quiet Clicks, USB-C, Bluetooth, Windows, Linux, Chrome - Grey","6,825..00","EGP 10,097.14",PC,amazon
"Apple iPad (9th Generation): with Bionic chip, 10.2-inch Retina Display, 64GB, Wi-Fi, 12MP front/8MP Back Camera, Touch ID, All-Day Battery Life – Silver","13,850..00",N/A,PC,amazon
