title,price,original_price,category,site
"3 in 1 Wireless Lavalier Microphones for iPhone, iPad, Android, Camera, USB-C Microphone, 7-Hour Battery, Mini Microphone with Noise Reduction for Video Recording, Vlog, YouTube, TikTok","1,299..00",,Camera,amazon
"EZVIZ C3TN COLOR Night Vision,Outdoor Security Camera 1080P CCTV Wi-Fi Camera with Motion Detection, IP67 Waterproof, SD Card(Max 256G),Compatible with Alexa, Google Home,White",,,Camera,amazon
Lexar 256GB Micro SDXC 633x UHSI 95MB/s Memory Card with SD Adapter-,"1,056..00",,Camera,amazon
TDOO Indoor Wireless Mini Security Camera Wifi Battery Operated 2.4Ghz (Black-B),680..00,,Camera,amazon
"Boya BY-V10 USB-C Wireless Mic, Mini Lapel Mic with Noise Reduction Compatible with Android Type-C Smartphone Laptop for Youtube Podcast Facebook Vlogging Recording","1,470..00",,Camera,amazon
EL MADAOY STORES 88W Tri-Color LED Photography Lighting Kit Dimmable 2800K-6500K with Remote Control and 2M Stand for TikTok YouTube Live Streaming (1 Pack),"1,850..00",,Camera,amazon
"Tapo 2K Outdoor Wired Pan/Tilt Security Wi-Fi Camera, 360° View, Motion Tracking, Works w/Alexa & Google Home, Color Night Vision, Free AI Detection, Cloud & SD Card Storage(up to 512GB), Tapo C510W",,,Camera,amazon
LEXAR 64 GB Memory Card For Mobile Phones - Micro SD Cards - LSDMI64GBBEU633A REV,290..00,,Camera,amazon
"SanDisk Extreme Pro microSD UHS I Card 512GB for 4K Video on Smartphones, Action Cams & Drones 200MB/s Read, 140MB/s Write, Lifetime Warranty","2,999..00","EGP 3,399.00",Camera,amazon
"PellKing Mobile Phone Chest Strap Mount,Harness Strap Holder Universal Cell Phone Clip for Action Camera POV Compatible with Gopro Akaso Samsung iPhone etc",400..00,EGP 443.01,Camera,amazon
"SanDisk Extreme Pro SD UHS I 64GB Card for 4K Video for DSLR and Mirrorless Cameras 200MB/s Read & 90MB/s Write, Lifetime Warranty",865..00,,Camera,amazon
"Outdoor Security Camera, Bullet Style, IP67 Weatherproof, White",300..00,,Camera,amazon
"Digital Camera, FHD 1080P Kids Camera 44MP Point and Shoot Digital Cameras with 32GB SD Card, 16X Zoom, Two Batteries, Lanyard, Compact Small Camera for Kids Boys Girls","3,660..78","EGP 3,774.00",Camera,amazon
"High Quality – 3m HDMI cable – 4K HDMI cord (HDMI to HDMI – 4K@120Hz for stunning Ultra HD, High Speed with Ethernet, HDMI 2.0/1.4 – Blu-ray/PS4/PS5/Xbox Series X/Switch, black)",105..90,EGP 179.00,Camera,amazon
"WEWATCH Projector, V11 Mini Projector, Focus Remote Control, Vertical Correction 45°, ±360° Rotating LED Projector, 1080P Full HD, 14000 Lumens, WiFi6 Bluetooth Projector, 300 Inch Display with","4,999..00",,Camera,amazon
"Lexar Professional 1066x 256GB MicroSDXC Uhs-I Card with SD Adapter Silver Series, Up to 160MB/s Read 120MB/s Write","1,277..59",,Camera,amazon
"Travor Photo Box 16""/40cm Photo Studio Light Box Photography Shooting Tent with Movable LED Lights, Dimmable Table Top Light Tent with 4 Color Backdrops (White Black Red Blue), CRI95+",896..00,EGP 967.00,Camera,amazon
"Tapo tc70 360-degree smart wi-fi pan and tilt camera, 1080 p,with light and audio",,,Camera,amazon
Nikon z30 mirrorless camera with 16-50mm lens,"48,613..19",,Camera,amazon
Hikvisioon Camera 2 MP OutDoor DS-2CE10DF0T - PF,"1,550..00",,Camera,amazon
Fujifilm instax Wide Instant Film (20 Exposures),993..19,,Camera,amazon
HDMI FLAT CABLE 3M FULL HD 1080,69..00,,Camera,amazon
Saramonic Blink 500 B2+ 2-Person Wireless Clip-On Microphone System,"5,850..00","EGP 6,500.00",Camera,amazon
Ring Light Aluminum Camera Tripod With Smart Design And Flexible For Smartphone - Black,177..00,EGP 202.00,Camera,amazon
"ADZOY 19 Inch RL-19 LED Video Bi-Colors Panel Light Kit, 2700-7500K Dimmable Photography Lighting with Remote, 7 Feet Tripod Stand for YouTube, Game Streaming, Video Photography","1,840..00",,Camera,amazon
instax FUJIFILM SQUARE SQ1 Instant Film Camera - Glacier Blue,"6,534..09",,Camera,amazon
Boya by-m1 lavalier microphone with windshield for smartphones and cameras - black,260..60,,Camera,amazon
"Insta360 X4-8K Waterproof 360 Action Camera, 4K Wide-Angle Video, Invisible Selfie Stick Effect, Removable Lens Guards, 135 Min Battery Life, AI Editing, Stabilization, for Sports, Travel, Outdoor","28,550..00",,Camera,amazon
BOYALINK Wireless Microphone System All-in-one 2.4GHz - Black,"4,500..00",,Camera,amazon
"Tapo TP-Link Pan/Tilt Security Camera for Baby Monitor, Pet Camera w/Motion Detection, 1080P, 2-Way Audio, Night Vision, Cloud & SD Card Storage, Works with Alexa & Google Home ( C200)",,,Camera,amazon
"DJI Osmo Pocket 3 Creator Combo, Vlogging Camera with 1'' CMOS & 4K/120fps Video, 3-Axis Stabilization, Face/Object Tracking, Fast Focusing, Mic Included for Clear Sound,Digital Camera for Photography",,,Camera,amazon
Lexar microSDXC Card 128GB UHS-I High-Performance 633x U3 100MB/s,,,Camera,amazon
"Joyzzz Kids Digital Camera, 1080P Portable, Blue",450..00,,Camera,amazon
"Careflection K-35 Wireless Collar Microphone Lapel Lavalier Omnidirectional Mic Plug and Play Mike for Vlogging Interview Live Streaming YouTube Compatible with BT Speakers, DSLR Camera,Black",297..00,EGP 314.50,Camera,amazon
Exxelo Mobile Phone and Camera Stand with Tilt Pan 360 Degree Horizontal & Vertical Rotating Head 55 Inches Height- Free Mobile Holder,395..00,EGP 437.50,Camera,amazon
"Lexar High-Performance 800x PRO SD Card 64GB, SDXC UHS-I Card, SD 3.0 Card up to 150MB/s Read, V30, U3, C10 SD Memory Card for Point-and-shoot Camera/Mid-range DSLR/HD Camcorder (LSD0800P064G-BNNAA)",482..35,,Camera,amazon
"ZatRuiZE Tripod Mount, Cell Phone Tripod Holder Clip, 1/4 Inch Screw Adapter, 360 Degree Rotation & Fixed 2 in 1, Smartphone Camera Holder, Mobile iPhone Clamp",152..10,EGP 170.00,Camera,amazon
K8 Wireless Microphone 2.4G Lapel Lavalier Mic Omnidirectional Cordless Mike for Interview Youtubers Vlogging Video Recording LiveStream Broadcasting Compatible with Lightning & Type-C Devices,239..00,EGP 249.00,Camera,amazon
"Hikvision 4 channel dvr 1080p lite h.265+ dvr ds-7104hghi-k1 with usewell hdmi (without hard drive), white","1,330..00","EGP 1,365.00",Camera,amazon
"ToneGod HDMI Splitter Adapter, ToneGod HDMI Splitter Cable for Dual Monitors Duplicate/Mirror(1 in 2 Out), HDMI Male to Dual HDMI Female for HDMI HD, LED, LCD, TV, Support Two TVs at The Same Time",67..00,EGP 80.00,Camera,amazon
"CROWNVIZ Camera Video Recording Vlogging Kit for Video Making, Mic, Mini Tripod Stand, LED Light & Phone Holder Clip for Making Videos Podcasting",336..00,,Camera,amazon
LOMTAP Background Stand Heavy Duty 6.5x10ft/ 2x3m Backdrop Support System Photography Photo Video Studio Kit with Carrying Bag for Adjustable Height and Width Shooting Photo Studio,"1,599..00",,Camera,amazon
"EZVIZ H1C CCTV Camera for Home, 1080p WiFi Security Camera, Baby Monitor Mini Camera with Night Vision, Two Way Talk, Sleep Mode, Sounds Alert, Magnetic Base, Motion Detection, Supports MicroSD Card",,,Camera,amazon
Fujifilm Instax SQUARE Instant Film (20 Exposures),"1,306..82",,Camera,amazon
"WiFi Video Projector, WEWATCH V10 Wireless Portable Movie Projector with Bluetooth Full HD 1080p Compatible with HDMI, VGA, TV Stick, iPhone, Android","3,999..00",,Camera,amazon
Fujifilm Instax Mini Single Instant Film for Fuji Instant Cameras- Pack 10 Sheets,799..00,EGP 943.92,Camera,amazon
"fashion mania 100pcs, glasses cleaning wipes, no scratches, no streaks, anti-fog, glasses, goggles, camera lens safety",466..00,,Camera,amazon
DHphoto Ulanzi U-Rig Pro Smartphone Video Case Handheld With LED Lights,349..00,,Camera,amazon
Professional Wireless Lavalier Lapel Microphone for Android Computer - Cordless Omnidirectional Condenser Recording Mic with USB C Interface for Interview Video Podcast Vlog YouTube,345..00,EGP 499.00,Camera,amazon
"KIDSZONE Hand Operated Mini Drones, Fidget Flying Spinner with Lights, UFO Drone Flying Toys, Cool Stuff Gadgets Christmas Birthday Gifts for Boys Girls Teens 7 8 9 10 11+ (Black)",219..99,,Camera,amazon
BMUUPY Mobile Phone Chest Mount Harness Strap Cell Phone Holder Mount for Video Recording Bike/Kayak/Fishing/Skateboard POV/VLOG for Smart Mobile Phone for GoPro Hero 12 11 10 9 8/Insta360/DJI,405..00,EGP 438.00,Camera,amazon
"Boya BOYALINK 2 Wireless Lavalier Microphone for iPhone Camera Android, Mini Lapel Mic, 48KHz 24Bit, 6mm Mic, 300m Range, 30h Use, Noise Cancelling, Clip on Mic USB-C/Lightning/3.5mm TRS, Vlog, iPad","5,250..00",,Camera,amazon
"KIDSZONE Kids Digital Camera for 3-12 Years Old Boys/Girls, Blue, with 32GB TF Card, HD Lens, Eye Protection Screen, Selfie, Video, Puzzle Games",899..99,,Camera,amazon
"Tp-link tapo c100 indoor home security wi-fi camera with night vision, 1080p high definition - white",,,Camera,amazon
Shahn Camera Stand Clip Bracket Holder Tripod Monopod Mount Adapter for Mobile Phone (Selfie Bracket with 2 Side Screw),69..00,,Camera,amazon
Hikvision DS-2CE76D0T-EXIPF 2 MP Indoor Fixed Turret Camera,399..00,,Camera,amazon
Zonic z1057 displayport to display port male dp 4k cable original video resolutions 1080p /2k/ 4k uhd 60hz compatible with pc/laptop/monitor 1.8meters - black,117..00,EGP 125.00,Camera,amazon
"LenTok Overhead Tripod Mount for Camera Webcam Ring Light, Flexible Over Head Arm for iPhone with Phone Holder and Ball Head, Table Stand Accessory for Phone Video Recording Live Stream",410..00,EGP 440.00,Camera,amazon
GoPro HERO13,"21,787..00",,Camera,amazon
"UGREEN USB Type-C Male To HDMI 2.0 Female, 4K 60Hz Adapter Cable Aluminum Alloy, Converter Compatible With Laptop, TV, Monitor, Tablet, Smartphone (10cm) - Space Grey",998..00,,Camera,amazon
"JSAUX 8K HDMI Male to HDMI Male Cable 2.1 10ft,Braided Cord, Model cv0011 4K @ 120Hz 144Hz, 8K @ 60Hz, HDCP 2.2 & 2.3, HDR 10, eARC Compatible with Laptop Monitor UHD TV PS5 PS4 Dolby -Red",149..00,,Camera,amazon
Fujifilm Instax Mini Evo - Brown,,,Camera,amazon
"ULANZI Wireless Lavalier Microphone for Smartphones, Plug-Play Mic with Charging Cable(Type-C Port) for Phone Video Recording Interview Youtubers Vloggers, 32.8ft Transmission Range",789..00,,Camera,amazon
"BOYA Omic-U Wireless Lavalier Microphone for USB-C Android Smartphone, iPhone 15 Series, Magnetic Back Clip, Portable Soft Charging Case,Plug Play Mini Lapel Mics for Video Recording Interview Youtube",,,Camera,amazon
Godox Umbrella UB-85D Parabolic 34-inch/85cm Lightweight and Portable Professional Lighting Accessory with Black-Silver Diffuser Ideal for Portrait and Fashion Transparent Version,893..00,,Camera,amazon
Lexar Micro SD Card 64GB (LSDMI64GBBCN633N) Black Blue,290..00,,Camera,amazon
"Tapo TP-Link 2K Outdoor Pan/Tilt Security Wi-Fi Camera,IP66 Weatherproof, AI Detection,360° Visual Coverage,Starlight Colour Night Vision,Cloud &Local Storage,Works with Alexa&Google Home C520WS","3,233..00","EGP 3,439.00",Camera,amazon
"K9 Dual Wireless Microphone, Mini Digital Lavalier Microphones, Clip-on Lapel Microphone, Black, Hypercardioid",290..00,EGP 310.80,Camera,amazon
"DJI Osmo Mobile 7 Gimbal Stabilizer for iPhone, Android, Built-in Tripod, Ultra-Light, Comfortable Grip, 3-Axis Phone Gimbal, ActiveTrack 7.0, ShotGuides, One-Tap Edit, 10hrs Use, Phone Charging","7,888..00",,Camera,amazon
"Delieu Wireless Lavalier Microphone (for USB C Android), Lapel Clip-on Mic for Phone Video Recording Live Stream Vlog YouTube TikTok",215..00,EGP 240.00,Camera,amazon
"CABLETIME 8K HDMI 2.1 Cable Ultra High Speed 48Gbps 8K@60Hz 4K@144Hz (2 Meters) Nylon Braided, eARC, HDR, Dolby Vision 7.1 CEC, EDID, HDCP 2.2, DTS-HD Master Audio and Dolby Atmos, 2-Years Warranty",399..00,,Camera,amazon
"Wireless Lavalier Microphones for iPhone/Android/Camera Devices, Mini LED Display Lapel Mic with Mute/Reverb/Noise Reduction for TikTok/YouTube/Vlog Recording (3 in 1)","1,299..00",,Camera,amazon
Fujifilm Instax Mini Photo Camera Film Pack,"1,549..00","EGP 1,625.00",Camera,amazon
ttstar Lavalier Microphone USB C Professional Lapel Clip-on Mic Omni Condenser Little Lav for Video Recording External Noise Cancel YouTube Vlog ASMR Interview on Android Type-C Device (6.6ft),150..00,EGP 175.00,Camera,amazon
"Laptop Cleaner Keyboard Cleaner Kit with Brush, 7 in 1 Electronic Cleaner Kit for Airpod Pro Earbuds Phone Computer, Multi-Function Cleaning Kit for Keyboard Laptop Airpods MacBook Earbuds PC - Blue",104..98,,Camera,amazon
"Canon RF28mm F2.8 STM Lens, RF Mount, Wide-Angle, for Full-Frame Cameras","19,799..00","EGP 23,750.00",Camera,amazon
UGREEN HDMI Cable HDMI 1M 8K HDMI 2.1 Ultra HD High-Speed 48Gbps 8K@60Hz HDMI Braided Cord eARC Dynamic HDR Dolby Vision Compatible with MacBook Pro PS5 Switch TV Xbox Roku UHD TV Blu-ray Projector,425..00,,Camera,amazon
"Tapo C320WS 2K QHD Wireless & Wired Security Camera Outdoor, IP66, Person/Vehicle Detection, Starlight Colour Night Vision, Cloud and Local Storage, Works With Alexa and Google, No Monthly Fee","2,555..00",,Camera,amazon
BOYA by-M1 Pro Lavalier Microphone Noise Cancelling Omnidirectional Mic with Monitoring Port for YouTube Tiktok Interview Broadcast Content Creation,581..00,EGP 665.42,Camera,amazon
"Syvo WT- 3520 cm 139.7 cm (55-Inch) Aluminium Tripod, Universal Lightweight Tripod with Carry Bag for All Smart Phones, Gopro, Cameras (Black)",720..00,,Camera,amazon
"King.Stone 128GB MEC SDXC Canvas Select Plus 100 RA1 C10 + ADP, 128GB SDCS2 Card, Black",449..00,,Camera,amazon
Godox Softbox Bowens Mount 70x100cm,"1,203..50",,Camera,amazon
